snapshot_id,sku_id,captured_at,price_usd,fx_rate_usd_jpy,price_jpy,source_type,source_url,confidence,effective_start_date,change_note
SAMPLE-SNAP-20260512-SKU-M365-E3,SKU-M365-E3,2026-05-12T09:00:00+09:00,33,152.4,5029.2,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-M365-E3,SKU-M365-E3,2026-06-14T09:00:00+09:00,36,155.2,5587.2,official_page,https://www.microsoft.com/en-us/microsoft-365/enterprise/microsoft-365-plans-and-pricing,High,,Microsoft 365 E3 official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-M365-E5,SKU-M365-E5,2026-05-12T09:00:00+09:00,57,152.4,8686.8,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-M365-E5,SKU-M365-E5,2026-06-14T09:00:00+09:00,57,155.2,8846.4,official_page,https://www.microsoft.com/en-us/microsoft-365/enterprise/microsoft-365-plans-and-pricing,High,,Microsoft 365 E5 official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-POWERAPPS-PREMIUM,SKU-POWERAPPS-PREMIUM,2026-05-12T09:00:00+09:00,20,152.4,3048,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-POWERAPPS-PREMIUM,SKU-POWERAPPS-PREMIUM,2026-06-14T09:00:00+09:00,20,155.2,3104,official_page,https://www.microsoft.com/en-us/power-platform/products/power-apps/pricing,High,,Power Apps Premium official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-POWERAUTOMATE-PREMIUM,SKU-POWERAUTOMATE-PREMIUM,2026-05-12T09:00:00+09:00,15,152.4,2286,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-POWERAUTOMATE-PREMIUM,SKU-POWERAUTOMATE-PREMIUM,2026-06-14T09:00:00+09:00,15,155.2,2328,official_page,https://www.microsoft.com/en-us/power-platform/products/power-automate/pricing,High,,Power Automate Premium official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-COPILOTSTUDIO-MESSAGES,SKU-COPILOTSTUDIO-MESSAGES,2026-05-12T09:00:00+09:00,200,152.4,30480,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-COPILOTSTUDIO-MESSAGES,SKU-COPILOTSTUDIO-MESSAGES,2026-06-14T09:00:00+09:00,200,155.2,31040,official_page,https://www.microsoft.com/en-us/power-platform/products/power-apps/pricing,High,,"Microsoft Copilot Studio capacity official pricing checked 2026-06-14."
SAMPLE-SNAP-20260512-SKU-POWERBI-PRO,SKU-POWERBI-PRO,2026-05-12T09:00:00+09:00,14,152.4,2133.6,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-POWERBI-PRO,SKU-POWERBI-PRO,2026-06-14T09:00:00+09:00,14,155.2,2172.8,official_page,https://www.microsoft.com/en-us/power-platform/products/power-bi/pricing,High,,Power BI Pro official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-DATAVERSE-CAPACITY,SKU-DATAVERSE-CAPACITY,2026-05-12T09:00:00+09:00,40,152.4,6096,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-DATAVERSE-CAPACITY,SKU-DATAVERSE-CAPACITY,2026-06-14T09:00:00+09:00,40,155.2,6208,official_page,https://www.microsoft.com/en-us/power-platform/products/power-apps/pricing,High,,Dataverse Database Capacity add-on official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-AZURE-OPENAI-TOKENS,SKU-AZURE-OPENAI-TOKENS,2026-05-12T09:00:00+09:00,6,152.4,914.4,manual_sample,local://sample-pricing,Low,,推移表示用の月額仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614093000-SKU-AZURE-OPENAI-TOKENS,SKU-AZURE-OPENAI-TOKENS,2026-06-14T09:30:00+09:00,6,155.2,931.2,azure_retail_api,https://prices.azure.com/api/retail/prices,High,,"Azure Retail Prices API aggregate for Japan East gpt-4o-mini-0718 checked 2026-06-14."
SAMPLE-SNAP-20260512-SKU-AZURE-FUNCTIONS,SKU-AZURE-FUNCTIONS,2026-05-12T09:00:00+09:00,0.000002,152.4,0.0003048,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614093000-SKU-AZURE-FUNCTIONS,SKU-AZURE-FUNCTIONS,2026-06-14T09:30:00+09:00,0.000002,155.2,0.0003104,azure_retail_api,https://prices.azure.com/api/retail/prices,High,,Azure Retail Prices API for Japan East Functions Standard Total Executions checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-AZURE-MONITOR,SKU-AZURE-MONITOR,2026-05-12T09:00:00+09:00,2.76,152.4,420.624,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614093000-SKU-AZURE-MONITOR,SKU-AZURE-MONITOR,2026-06-14T09:30:00+09:00,3.34,155.2,518.368,azure_retail_api,https://prices.azure.com/api/retail/prices,High,,Azure Retail Prices API for Japan East Log Analytics data ingestion checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-ENTRA-ID-P1,SKU-ENTRA-ID-P1,2026-05-12T09:00:00+09:00,6,152.4,914.4,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-ENTRA-ID-P1,SKU-ENTRA-ID-P1,2026-06-14T09:00:00+09:00,6,155.2,931.2,official_page,https://www.microsoft.com/en-us/security/business/microsoft-entra-pricing,High,,Microsoft Entra ID P1 official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-DEFENDER-BUSINESS,SKU-DEFENDER-BUSINESS,2026-05-12T09:00:00+09:00,3,152.4,457.2,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-DEFENDER-BUSINESS,SKU-DEFENDER-BUSINESS,2026-06-14T09:00:00+09:00,3,155.2,465.6,official_page,https://www.microsoft.com/en-us/security/business/endpoint-security/microsoft-defender-business,High,,Microsoft Defender for Business official pricing checked 2026-06-14.
